,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
316,6825600,79.0,-9.3897623948679e-05,0.00011153578567163,-1.7638161722956e-05,-7.244025980447e-08,8.650135149092799e-08,-1.4061091686458e-08,-16.621764317445,27.657470808503,-1.281028961663,0.21944444444444,50400.0,1,1100.0,530.0,0.2,17.0
320,6912000,80.0,-9.4747546581251e-05,0.00011252246356698,-1.777491698573e-05,-7.3677404180419e-08,8.8032408737331e-08,-1.4355004556911e-08,-16.620798528011,27.76955445184,-1.2688875810147,0.22222222222222002,50400.0,1,1100.0,530.0,0.2,17.0
324,6998400,81.0,-9.559422967819899e-05,0.00011350523364553999,-1.7911003967337e-05,-7.4923295464943e-08,8.957557184060401e-08,-1.4652276375661001e-08,-16.619836520562,27.878226139794997,-1.2572323927726001,0.225,50400.0,1,1100.0,530.0,0.2,17.0
328,7084800,82.0,-9.6437670901771e-05,0.00011448409808546001,-1.8046427183693e-05,-7.617792922659099e-08,9.1130846660962e-08,-1.4952917434371e-08,-16.618988931126,27.979642495996,-1.247385671982,0.22777777777778,50400.0,1,1100.0,530.0,0.2,17.0
332,7171200,83.0,-9.7278010041158e-05,0.00011545922705993999,-1.8181217018787e-05,-7.744137901797e-08,9.2698343349768e-08,-1.5256964331798e-08,-16.618067067187,28.087314194896997,-1.2360097000858998,0.23055555555555998,50400.0,1,1100.0,530.0,0.2,17.0
336,7257600,84.0,-9.811522212699e-05,0.00011643059618411001,-1.8315374057123e-05,-7.8713618162287e-08,9.4278031968749e-08,-1.5564413806462e-08,-16.617221604239,28.185931124635,-1.2268356973833998,0.23333333333332998,50400.0,1,1100.0,530.0,0.2,17.0
340,7344000,85.0,-9.8949470855251e-05,0.00011739840364896,-1.8448932793711e-05,-7.9994740404578e-08,9.587005088322699e-08,-1.5875310478649e-08,-16.616308746327,28.293509424954,-1.2154983685631,0.23611111111111,50400.0,1,1100.0,530.0,0.2,17.0
344,7430400,86.0,-9.9780823443686e-05,0.00011836273473108999,-1.8581911287402e-05,-8.1284772060292e-08,9.747443995652599e-08,-1.6189667896234e-08,-16.615353370312,28.401737143864,-1.2041906658159,0.23888888888889,50400.0,1,1100.0,530.0,0.2,17.0
348,7516800,87.0,-0.00010060935330063,0.0001193236794182,-1.8714326117564e-05,-8.2583750556018e-08,9.9091257842832e-08,-1.6507507286813998e-08,-16.614487152978,28.510047370623003,-1.192481259646,0.24166666666667003,50400.0,1,1100.0,530.0,0.2,17.0
352,7603200,88.0,-0.00010143506650398001,0.00012028124703563999,-1.884618053166e-05,-8.3891690373616e-08,1.0072053640392999e-07,-1.6828846030311e-08,-16.613584475777,28.613951461436,-1.1820204629172,0.24444444444444,50400.0,1,1100.0,530.0,0.2,17.0
