,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
330,6739200.0,78.0,-4.4697906187406e-05,5.9996493396292e-05,-1.5298587208887e-05,-7.228156927309901e-08,8.751679361280099e-08,-1.5235224339701997e-08,-16.624546642836002,27.308802963899,-1.8774121776055,0.21666666666667003,50400.0,1.0,1100.0,530.0,0.2,17.0
334,6825600.0,79.0,-4.5103319791732e-05,6.054847800308199e-05,-1.544515821135e-05,-7.3482934325853e-08,8.9025704748571e-08,-1.5542770422718997e-08,-16.623833722062,27.392600399510002,-1.872612041149,0.21944444444444,50400.0,1.0,1100.0,530.0,0.2,17.0
338,6912000.0,80.0,-4.5506558579871994e-05,6.1097654782447e-05,-1.5591096202575e-05,-7.4690732471628e-08,9.0543830143435e-08,-1.5853097671807e-08,-16.62320675274,27.467949643979,-1.8698926482817,0.22222222222222002,50400.0,1.0,1100.0,530.0,0.2,17.0
342,6998400.0,81.0,-4.5907655836058e-05,6.164406260085799e-05,-1.5736406764798998e-05,-7.590498783633599e-08,9.207119724552e-08,-1.6166209409183003e-08,-16.622488998093,27.55083107932,-1.8651209012683,0.225,50400.0,1.0,1100.0,530.0,0.2,17.0
346,7084800.0,82.0,-4.6306634161249e-05,6.2187729448906e-05,-1.5881095287657e-05,-7.7125675653249e-08,9.360777503938901e-08,-1.648209938614e-08,-16.621811689103,27.631660532649,-1.8608004402921998,0.22777777777778,50400.0,1.0,1100.0,530.0,0.2,17.0
350,7171200.0,83.0,-4.6703529791441996e-05,6.2728704927117e-05,-1.6025175135675e-05,-7.835276239827699e-08,9.5153528408569e-08,-1.6800766010292e-08,-16.621175449008998,27.706347040459995,-1.8579253930422,0.23055555555555998,50400.0,1.0,1100.0,530.0,0.2,17.0
354,7257600.0,84.0,-4.7097699166838e-05,6.326609033178e-05,-1.6168391164942002e-05,-7.9583984312738e-08,9.6705354974099e-08,-1.7121370661361e-08,-16.620470115497,27.784575847097997,-1.8538232986101002,0.23333333333332998,50400.0,1.0,1100.0,530.0,0.2,17.0
358,7344000.0,85.0,-4.7489844310413e-05,6.3800851974825e-05,-1.6311007664411e-05,-8.082134043302701e-08,9.8265995291087e-08,-1.7444654858061e-08,-16.619745988929,27.863277633695002,-1.8495656868405,0.23611111111111,50400.0,1.0,1100.0,530.0,0.2,17.0
362,7430400.0,86.0,-4.7880712274788e-05,6.433403836983e-05,-1.6453326095042e-05,-8.2067626832749e-08,9.9839298253762e-08,-1.7771671421013e-08,-16.619066680997,27.941673312904,-1.8455049770977,0.23888888888889,50400.0,1.0,1100.0,530.0,0.2,17.0
366,7516800.0,87.0,-4.8269625717395e-05,6.4864697437424e-05,-1.659507172003e-05,-8.3320315855877e-08,1.0142179311435e-07,-1.8101477258473e-08,-16.618367435971,28.022941974120997,-1.8406816038407998,0.24166666666667003,50400.0,1.0,1100.0,530.0,0.2,17.0
370,7603200.0,88.0,-4.8656599219634005e-05,6.5392847322401e-05,-1.6736248102767003e-05,-8.4579358487781e-08,1.0301341744244e-07,-1.8434058954663e-08,-16.617727111155,28.097205294669,-1.8375055639853,0.24444444444444,50400.0,1.0,1100.0,530.0,0.2,17.0
374,7689600.0,89.0,-4.9041679447763e-05,6.5918549808925e-05,-1.6876870361162e-05,-8.584478924589799e-08,1.0461422349914e-07,-1.8769434253241e-08,-16.617034530505,28.177633461090004,-1.8327673827789,0.24722222222222,50400.0,1.0,1100.0,530.0,0.2,17.0
378,7776000.0,90.0,-4.9424875131128005e-05,6.644181468248e-05,-1.7016939551352e-05,-8.711655006218701e-08,1.0622413516225e-07,-1.9107585100065e-08,-16.616407113552,28.249830448529,-1.8298370504765,0.25,50400.0,1.0,1100.0,530.0,0.2,17.0
382,7862400.0,91.0,-4.9806227656887e-05,6.6962697463874e-05,-1.7156469806987e-05,-8.8394662098232e-08,1.0784318789998e-07,-1.9448525801750002e-08,-16.615727476270003,28.325795996029,-1.8261114621758,0.25277777777778,50400.0,1.0,1100.0,530.0,0.2,17.0
386,7948800.0,92.0,-5.0185763503431e-05,6.748123151596501e-05,-1.7295468012534e-05,-8.9679124579938e-08,1.0947138238739998e-07,-1.9792257807462002e-08,-16.615067880610003,28.403250936707,-1.8218858600202,0.25555555555556,50400.0,1.0,1100.0,530.0,0.2,17.0
390,8035200.0,93.0,-5.0563495109557e-05,6.799743108054201e-05,-1.7433935970985e-05,-9.096990772858801e-08,1.1110867926554e-07,-2.0138771536955e-08,-16.614403300676,28.477871859264997,-1.8182477620378998,0.25833333333333,50400.0,1.0,1100.0,530.0,0.2,17.0
394,8121600.0,94.0,-5.0939463264322995e-05,6.851135092563001e-05,-1.7571887661308e-05,-9.226703003186699e-08,1.1275511047483e-07,-2.0488080442964e-08,-16.613759459934002,28.555379722997,-1.8138972859061,0.26111111111111,50400.0,1.0,1100.0,530.0,0.2,17.0
