time,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,nl_its,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz
790800,-1.4628689221511e-05,1.7933282445215e-05,-3.3045932237039e-06,1,-4.9916518342819e-09,5.668145861722e-09,-6.7649402744012e-10,-9.9209936925573,1.6006503670095,-11.597447434554
800400,-1.46280011842e-05,1.7933878864301e-05,-3.3058776801009e-06,1,-4.9916518342819e-09,5.668145861722e-09,-6.7649402744012e-10,-9.9209861491548,1.6015132268794,-11.597212944686
810000,-1.4627313232522e-05,1.79344753554e-05,-3.3071621228788e-06,1,-4.9916518342819e-09,5.668145861722e-09,-6.7649402744012e-10,-9.9209786525477,1.6024169689433,-11.596969149076
811200,-1.4627395320916e-05,1.7934843291671e-05,-3.3074479707542e-06,3,-4.9916518342819e-09,5.668145861722e-09,-6.7649402744012e-10,-12.179360500004,7.401083641482,-8.610890283852
812400,-1.4630430141577e-05,1.7939664023224e-05,-3.3092338816473e-06,3,-4.9916518342819e-09,5.668145861722e-09,-6.7649402744012e-10,-14.436884331176,13.339567943614,-5.4856214377393
813600,-1.4668734450196e-05,1.7986112515246e-05,-3.3173780650499e-06,3,-5.0066724433185e-09,5.685294464296e-09,-6.7862202097749e-10,-16.693246974179,19.419981456779,-2.2203406542108
830400,-1.5201009183074e-05,1.86312262915e-05,-3.4302171084252e-06,2,-5.2176130101843e-09,5.9262247628817e-09,-7.0861175269748e-10,-16.693469664806,19.4588287054,-2.2167226073793
847200,-1.572942485996e-05,1.9271328979232e-05,-3.5419041192725e-06,2,-5.4292201944162e-09,6.1680185844548e-09,-7.3879839003851e-10,-16.693132658597,19.498928781147,-2.2118798294083
864000,-1.625405216281e-05,1.9906515167134e-05,-3.6524630043236e-06,2,-5.6414937503963e-09,6.4106759126341e-09,-7.6918216223778e-10,-16.692796475994,19.538928369007,-2.2070553987516
865200,-1.6256984857267e-05,1.991117065456e-05,-3.6541857972935e-06,3,-5.6414937503963e-09,6.4106759126341e-09,-7.6918216223778e-10,-14.436791030366,13.462214301131,-5.4725985652274
866400,-1.6257061677638e-05,1.9911520864785e-05,-3.6544591871469e-06,3,-5.6414937503963e-09,6.4106759126341e-09,-7.6918216223778e-10,-12.17907104854,7.5246285417199,-8.5974614417466
867600,-1.6256976187778e-05,1.9911592421586e-05,-3.6546162338077e-06,3,-5.6414937503963e-09,6.4106759126341e-09,-7.6918216223778e-10,-9.9202178616559,1.7272200688717,-11.582487096018
877200,-1.6256292418334e-05,1.9912164855076e-05,-3.6558724367422e-06,1,-5.6414937503963e-09,6.4106759126341e-09,-7.6918216223778e-10,-9.9199205459246,1.7282539077883,-11.581659914337
886800,-1.6255608731133e-05,1.9912737345015e-05,-3.657128613882e-06,1,-5.6414937503963e-09,6.4106759126341e-09,-7.6918216223778e-10,-9.9199134458906,1.7290708286033,-11.581436585486
896400,-1.6254925129137e-05,1.9913309900462e-05,-3.6583847713242e-06,1,-5.6414937503963e-09,6.4106759126341e-09,-7.6918216223778e-10,-9.9199062387613,1.7299390081789,-11.581197881911
